#dx   dz  dt l2 linf min(phi) max(phi)
2000 1000 50 0.45119 0.47176 -0.1067 0.83321
1000 500  25 0.292 0.36041 -0.0946 0.923
500 250 12.5 0.13271 0.1481 -0.02732 1.03408
250 125 6.25  0.06486 0.07647 -0.00926 1.01522
200 100 5 0.05185 0.0601 -0.00643 1.0117
