#dx     dz      dt     l2     linf   min(phi) max(phi)
6       6       0.2   0.61896 0.69736 -0.21462 0.73809
3       3       0.1   0.36803 0.48997 -0.19227 0.97349
1.5     1.5     0.05  0.18263 0.25282 -0.01197 0.97349
1       1      0.03333 0.12103 0.14829 -0.0008 0.96578
0.75    0.75    0.025  0.09069 0.1079 -8e-05   0.96165
