#dx     dz      dt     l2     linf   min(phi) max(phi)
6       6       0.04   0.4908 0.5059 -0.1577 0.6059
3       3       0.02   0.3335 0.4082 -0.3039 0.8621
1.5     1.5     0.01   0.2322 0.3429 -0.2640 1.1070
1       1  0.006666667 1.1562 7.1444 -6.6631  7.1445
0.75    0.75    0.005  58.9391 425.0231 -410.0801  425.0233
