#dx dz dt l2 linf min(phi) max(phi)
2000 1000 50  0.374367 0.326726 -0.298328 0.735008
1000 500 25  0.150795 0.149264 -0.114987 0.935016
500 250 12.5  0.0492728 0.058233 -0.037263 0.986103
250 125 6.25  0.011109 0.0156691 -0.0147049 0.998198
