#dx     dz      dt     l2     linf   min(phi) max(phi)   defCo(x) defCo(y)
6       6       0.02   0.49196 0.49538 -0.09733 0.61020  0.02345  0.06354
3       3       0.01   0.28460 0.40133 -0.08474 0.84836  0.01188  0.03198
1.5     1.5     0.005   0.14091 0.29256 -0.07002 0.98395 0.00596  0.01602
1       1      0.003333 0.09877 0.23249 -0.04563 0.99746 0.00398  0.01068
0.75    0.75    0.0025  0.07985 0.21605 -0.03555 0.99230 0.00298  0.00801
0.375   0.375   0.00125 0.06880 0.34918 -0.22286 0.97427 0.00149  0.00401
