#dt l2 linf defCo(x) defCo(y)
0.25 0.006946 0.00930 0 0
0.5 0.006273 0.008751 0 0
1 0.005421 0.008010 0 0
2 0.004482 0.006774 0 0
5 0.010520 0.009933 0 0
10 0.043683 0.04514 0 0
