#dx dz dt l2 linf min(phi) max(phi)
2000 1000 50 0.44817  0.36901 -0.03827 0.58273
1000 500  25 0.11112 0.08508 -0.03037 0.91322
500 250 12.5 0.0151 0.01844 -0.00951 0.99061
250 125 6.25 0.0028 0.00433 -0.00332 0.99838
200 100 5 0.00171 0.00284 -0.00233 0.99903
