#dt l2 linf min(phi) max(phi) deform_Co(x) deform_Co(y)
50  0.10758 0.08594 -0.01595 0.90799 0.46991 0.45873
100  0.21442 0.19218 -0.00228 0.80244 0.93983 0.91746
200  0.70377 2.64078 -2.64078 0.49427 1.87966 1.83492
500  100 100 -100 100 4.69914 4.58729
1000  100 100 -100 100 9.39829 9.17458
