#dx dz dt l2 linf min(phi) max(phi)
2000 1000 50  0.255043 0.237488 -0.11873 0.824534
1000 500 25  0.0759938 0.0741328 -0.038887 0.959968
500 250 12.5  0.0161193 0.0205361 -0.0148861 0.997626
250 125 6.25  
